timestamp,Z_PK,Z_ENT,Z_OPT,altitude,course,hAccuracy,lat,lng,speed,ZTIMESTAMP,vAccuracy
2015/11/09 17:43:32,1,1,1,11.95520114898682,-1,65,37.78658415766615,-122.4032703186091,-1,468899012.12698,10
2015/11/09 17:46:04,2,1,1,14.66769409179688,281.953125,30,37.78552029751035,-122.4040600565471,0.9100000262260437,468899164.820816,4
2015/11/09 17:48:08,3,1,1,14.617431640625,42.5390625,50,37.78683185580912,-122.4030482770152,1.460000038146973,468899288.748989,4
2015/11/09 17:44:30,4,1,1,-1,-1,12.2800195808586,37.78436935848425,-122.4030477315084,-1,468899070.975143,-1
2015/11/09 17:45:15,5,1,1,27.73822784423828,-1,65,37.78485842213649,-122.403751384833,-1,468899115.550308,41.97011701980649
2015/11/09 17:46:36,6,1,1,15.76809692382812,40.78125,10,37.78604546565356,-122.40325128671,1.179999947547913,468899196.322042,4
2015/11/09 17:45:35,7,1,1,13.86175537109375,330.1171875,10,37.78528874743523,-122.4035307393618,0.5299999713897705,468899135.120443,4
2015/11/09 17:43:38,8,1,1,12.04345989227295,-1,65,37.78622212547504,-122.4033867759543,-1,468899018.726236,10
2015/11/09 17:45:02,9,1,1,25.84390258789062,-1,65,37.78504443437614,-122.4034376517483,-1,468899102.143266,52.67519364359874
2015/11/09 17:47:52,10,1,1,15.75018310546875,69.2578125,30,37.78665374036672,-122.4032259733625,2.160000085830688,468899272.22131,4
2015/11/09 17:45:27,11,1,1,14.57717895507812,-1,10,37.7849569917077,-122.4034538773097,1.220000028610229,468899127.022188,4
2015/11/09 17:44:08,12,1,1,12.77324199676514,-1,65,37.78567629299088,-122.4030726186015,-1,468899048.912583,10
2015/11/09 17:43:58,13,1,1,12.53918743133545,-1,65,37.78606160487725,-122.4032648753119,-1,468899038.836876,10
2015/11/09 17:44:55,14,1,1,28.4344425201416,-1,65,37.78555708452424,-122.4027054654265,-1,468899095.636176,79.63375638666055
2015/11/09 17:45:08,15,1,1,27.0033130645752,-1,65,37.78466448001438,-122.4040007975146,-1,468899108.768668,46.41196040202757
2015/11/09 17:46:18,16,1,1,16.32089233398438,56.6015625,30,37.78574815954806,-122.4038320687808,2.099999904632568,468899178.027791,3
2015/11/09 17:47:10,17,1,1,15.87850952148438,307.96875,30,37.78619043066892,-122.4034864829131,1.659999966621399,468899230.821176,4
2015/11/09 17:45:50,18,1,1,13.97607421875,292.8515625,30,37.78535383291336,-122.4038322364189,1.139999985694885,468899150.1204,4
2015/11/09 17:44:50,19,1,1,23.40983772277832,-1,92.48910069465637,37.78527796662503,-122.4028190496686,-1,468899090.856641,136.9658303076903
2015/11/09 17:44:15,20,1,1,12.89579296112061,-1,65,37.7855544633938,-122.4028421238834,-1,468899055.450122,10
2015/11/09 17:46:27,21,1,1,15.75180053710938,43.2421875,10,37.78591345067861,-122.4035016541578,2.650000095367432,468899187.933626,4
2015/11/09 17:42:43,22,1,1,11.61971378326416,-1,65,37.78679380349967,-122.4031446173208,-1,468898963.067028,10
2015/11/09 17:43:18,23,1,1,11.83284473419189,-1,65,37.78678587528558,-122.4034437475161,-1,468898998.950336,10
2015/11/09 17:47:29,24,1,1,18.52670288085938,63.28125,10,37.78642583641949,-122.4034775142767,0.5799999833106995,468899249.121758,3
2015/11/09 20:13:16,25,1,1,78.39291381835938,316.40625,30,37.74849785029679,-122.4899713789322,0.5,468907996.757409,4
2015/11/09 19:59:19,26,1,1,79.96542358398438,130.4296875,10,37.74849437180697,-122.4896654394665,0.5299999713897705,468907159.147087,4
2015/11/09 19:49:54,27,1,1,87.93685913085938,168.3984375,10,37.75551568254619,-122.4906053022691,1.659999966621399,468906594.551542,3
2015/11/09 19:46:43,28,1,1,77.98324584960938,266.8086547851562,10,37.75944120702463,-122.4859777896199,5.699999809265137,468906403.149671,3
2015/11/09 19:29:32,29,1,1,73.13510131835938,273.8671875,10,37.77227798014672,-122.4494366628327,1.840000033378601,468905372.96479,3
2015/11/09 19:39:14,30,1,1,72.52798461914062,150.3851928710938,10,37.76998161432734,-122.4795725887088,3.509999990463257,468905954.355781,4
2015/11/09 19:23:06,31,1,1,59.88302612304688,251.71875,10,37.77291525624485,-122.431704076121,5.190000057220459,468904986.568626,4
2015/11/09 19:35:59,32,1,1,70.60983276367188,233.4889831542969,10,37.77116485293254,-122.4708709558763,7.579999923706055,468905759.359649,4
2015/11/09 19:43:35,33,1,1,73.75839233398438,176.7237548828125,10,37.76239602960033,-122.4781206217449,4.190000057220459,468906215.055661,4
2015/11/09 21:10:09,34,1,1,80.53964233398438,233.7890625,50,37.74891937620728,-122.4898471591272,0.7200000286102295,468911409.403449,4
2015/11/09 19:12:09,35,1,1,12.005126953125,211.9921875,10,37.78267120480331,-122.4099734054156,3.970000028610229,468904329.572346,3
2015/11/09 19:34:00,36,1,1,74.16134643554688,288.1470336914062,10,37.77197305303597,-122.4628408749049,7.159999847412109,468905640.261851,3
2015/11/09 21:09:39,37,1,1,79.59701538085938,192.3046875,30,37.74842853195756,-122.4896692113229,0,468911379.526914,4
2015/11/09 19:12:39,38,1,1,13.8677978515625,221.8359375,10,37.78158197648617,-122.4114419148512,6.449999809265137,468904359.27269,4
2015/11/09 19:11:53,39,1,1,12.27276611328125,227.4609375,10,37.78337243482264,-122.4092435931064,5.449999809265137,468904313.07139,3
2015/11/09 19:21:01,40,1,1,42.2762451171875,269.6484375,10,37.77363086122812,-122.4268150796391,2.019999980926514,468904861.173435,4
