north,west,south,east,Ozone_S,SO2,time
37.7429164836,-122.4905883339,37.7411198539,-122.4883163643,48.6971446305,289.6858056892,1448139106.94988
37.7447131134,-122.4928597521,37.7429164836,-122.4905877273,48.4799281613,290.2618734777,1448139097.10477
37.7447131134,-122.4905877273,37.7429164836,-122.4883157025,48.2768166573,290.7260897199,1448139092.99297
37.7465097431,-122.4928592006,37.7447131134,-122.4905871206,48.5456407065,289.2993898477,1448139082.43264
37.7465097431,-122.4905871206,37.7447131134,-122.4883150407,48.0181149951,289.0315064729,1448139077.00471
37.7483063728,-122.492858649,37.7465097431,-122.4905865139,48.7036637322,289.806708805,1448139072.25079
37.7483063728,-122.4905865139,37.7465097431,-122.4883143788,48.4714098683,291.3713373661,1448139068.29457
37.7483063728,-122.4292388661,37.7465097431,-122.426966731,47.9542277983,290.1623062057,1448139062.04925
37.7483063728,-122.426966731,37.7465097431,-122.4246945959,48.3534812936,282.4801092804,1448139057.50895
37.7483063728,-122.4246945959,37.7465097431,-122.4224224608,48.2458272183,291.1135292507,1448139057.17496
37.7483063728,-122.4224224608,37.7465097431,-122.4201503257,50.5720942684,303.4769150564,1448139053.77019
37.7483063728,-122.4201503257,37.7465097431,-122.4178781906,50.7518876825,306.1670424605,1448139042.24049
37.7483063728,-122.4178781906,37.7465097431,-122.4156060555,50.7192204756,305.7557519091,1448139042.17764
37.7483063728,-122.4156060555,37.7465097431,-122.4133339204,50.9181250186,307.2679204923,1448139038.30808
37.7501030025,-122.4905859071,37.7483063728,-122.4883137168,47.5697371353,286.6656826734,1448139027.08612
37.7501030025,-122.4246923894,37.7483063728,-122.4224201992,48.2596694444,289.5838677679,1448139023.3436
37.7501030025,-122.4224201992,37.7483063728,-122.4201480089,50.289945251,301.8721037639,1448139017.0949
37.7501030025,-122.4156036284,37.7483063728,-122.4133314381,50.279635101,302.5110142859,1448139012.63081
37.7501030025,-122.4065148673,37.7483063728,-122.4042426771,53.94510598,320.2083005443,1448139012.62257
37.7501030025,-122.4042426771,37.7483063728,-122.4019704868,53.4868021913,321.6599794285,1448139003.24106
37.7501030025,-122.4019704868,37.7483063728,-122.3996982965,53.8296002009,320.8013702058,1448139002.14183
37.7501030025,-122.3996982965,37.7483063728,-122.3974261063,53.4347316074,321.6585302992,1448138991.9674
37.7501030025,-122.3974261063,37.7483063728,-122.395153916,54.2204395231,322.9050231817,1448138987.07567
37.7501030025,-122.395153916,37.7483063728,-122.3928817258,53.6402244469,319.953629454,1448138981.91286
37.7501030025,-122.3928817258,37.7483063728,-122.3906095355,52.8190589435,320.6883381055,1448138977.66582
