north,west,south,east,Ozone_S,SO2,time
37.786035597,-122.4064618621,37.7842389673,-122.4041885676,47.6212982538,269.6006359886,1448138021.24273
37.786035597,-122.4041885676,37.7842389673,-122.401915273,50.122278741,310.0281437463,1448138016.44191
37.786035597,-122.401915273,37.7842389673,-122.3996419785,47.7975286516,283.4486272902,1448138016.10122
37.786035597,-122.3996419785,37.7842389673,-122.397368684,52.8911820958,317.8519865958,1448138011.17314
37.786035597,-122.397368684,37.7842389673,-122.3950953894,53.5968505258,321.4080866259,1448138001.28268
37.786035597,-122.3905488003,37.7842389673,-122.3882755058,52.0808964301,322.496851709,1448137996.36297
37.786035597,-122.3882755058,37.7842389673,-122.3860022113,53.4965137683,322.5230165472,1448137991.0306
37.7878322267,-122.4064592094,37.786035597,-122.4041858596,46.7527071854,235.0350833857,1448137990.7007
37.7878322267,-122.4041858596,37.786035597,-122.4019125098,49.6159701415,312.3054821788,1448137982.28722
37.7878322267,-122.39963916,37.786035597,-122.3973658102,48.3063796439,291.4052558874,1448137980.97107
37.7878322267,-122.3973658102,37.786035597,-122.3950924603,52.2992636669,312.5507626289,1448137971.0558
37.7878322267,-122.3950924603,37.786035597,-122.3928191105,53.8312119095,322.4246367561,1448137965.98149
37.7878322267,-122.3882724109,37.786035597,-122.3859990611,54.5871032169,322.7009374458,1448137961.17136
37.7896288564,-122.4064565564,37.7878322267,-122.4041831513,48.2170779797,292.1536516458,1448137956.42903
37.7896288564,-122.4041831513,37.7878322267,-122.4019097462,50.7509825443,302.1885455394,1448137950.928
37.7896288564,-122.4019097462,37.7878322267,-122.3996363412,50.7656032141,312.1574882256,1448137951.00267
37.7896288564,-122.3973629361,37.7878322267,-122.395089531,48.5967504641,292.7581672265,1448137941.0394
37.7896288564,-122.395089531,37.7878322267,-122.3928161259,51.6158938877,311.9170008912,1448137936.11674
37.7896288564,-122.3928161259,37.7878322267,-122.3905427209,52.2803453624,315.2204102573,1448137932.76257
37.7896288564,-122.3905427209,37.7878322267,-122.3882693158,53.3250114489,320.7470278498,1448137929.19084
37.7896288564,-122.3882693158,37.7878322267,-122.3859959107,53.2499607351,319.2606350304,1448137922.61772
37.7914254862,-122.4064539032,37.7896288564,-122.4041804428,48.812141585,293.8036235832,1448137919.15004
37.7914254862,-122.4019069825,37.7896288564,-122.3996335221,49.0452489596,295.6325937749,1448137916.282
37.7914254862,-122.3996335221,37.7896288564,-122.3973600618,53.0864144218,317.9177907193,1448137906.99714
37.7914254862,-122.3950866014,37.7896288564,-122.3928131411,48.541658128,292.5726100375,1448137901.40388
37.7914254862,-122.3928131411,37.7896288564,-122.3905396807,51.7955641963,311.4457203674,1448137900.67862
37.7914254862,-122.3905396807,37.7896288564,-122.3882662204,53.2158078636,321.0054559421,1448137893.61577
37.7932221159,-122.3996307028,37.7914254862,-122.3973571872,54.9163522482,321.9115069043,1448137892.87662
37.7932221159,-122.3973571872,37.7914254862,-122.3950836716,49.5560864559,299.2007867483,1448137885.78299
37.7932221159,-122.3950836716,37.7914254862,-122.3928101559,49.8184727601,300.3167097162,1448137882.25016
37.7932221159,-122.3928101559,37.7914254862,-122.3905366403,49.5355765055,298.1842669262,1448137880.77627
37.7932221159,-122.3905366403,37.7914254862,-122.3882631247,55.9369091231,319.435565661,1448137869.31286
37.7950187456,-122.3973543124,37.7932221159,-122.3950807415,51.3199397529,320.8619231167,1448137861.40322
37.7950187456,-122.3950807415,37.7932221159,-122.3928071706,54.0794150253,322.3555615838,1448137856.04733
37.7950187456,-122.3928071706,37.7932221159,-122.3905335996,54.1092316335,321.2864663024,1448137855.38647
